epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1991.35,0.63459,0.88287,1.19019,0,0,0,0,0,139.513,0,0.000277532,0.000277532,0.000277532
2,4856.91,0.39538,0.32677,0.99058,0,0,0,0,0,153.042,0,0.000541458,0.000541458,0.000541458
3,8340.77,0.35839,0.27691,0.9704,0,0,0,0,0,144.927,0,0.000791639,0.000791639,0.000791639
4,11859.9,0.31556,0.24733,0.95003,0,0,0,0,0,150.297,0,0.00077115,0.00077115,0.00077115
5,1505.82,0.32113,0.2394,0.92315,0,0,0,0,0,0,0,0.000750533,0.000750533,0.000750533
6,3257.42,0.28755,0.22025,0.9104,0,0,0,0,0,0,0,0.000729916,0.000729916,0.000729916
7,4978.88,0.27224,0.20923,0.9077,0,0,0,0,0,0,0,0.000709299,0.000709299,0.000709299
8,6597.56,0.25818,0.1983,0.90232,0,0,0,0,0,0,0,0.000688683,0.000688683,0.000688683
9,8101.22,0.24475,0.19207,0.89632,0,0,0,0,0,0,0,0.000668066,0.000668066,0.000668066
10,9493.93,0.23946,0.18824,0.89678,0,0,0,0,0,0,0,0.000647449,0.000647449,0.000647449
11,10855,0.23033,0.18246,0.89286,0,0,0,0,0,0,0,0.000626832,0.000626832,0.000626832
12,12187.5,0.21899,0.17529,0.88976,0,0,0,0,0,0,0,0.000606216,0.000606216,0.000606216
13,13465.7,0.21141,0.17014,0.88823,0,0,0,0,0,0,0,0.000585599,0.000585599,0.000585599
